20181210 025500;2619.5;2619.5;2619.5;2619.5;1
20181210 025600;2619;2619;2619;2619;1
20181210 025700;2618.75;2618.75;2618.75;2618.75;1
20181210 025800;2618.5;2618.5;2618.25;2618.25;5
20181210 025900;2618.75;2619;2618.75;2619;2
20181210 030000;2619.25;2619.5;2619.25;2619.5;5
20181210 030100;2619.25;2619.5;2619.25;2619.5;2
20181210 030200;2619.25;2619.25;2618.75;2618.75;6
20181210 030300;2618.25;2618.5;2618.25;2618.5;2
20181210 030400;2618.5;2618.5;2618.5;2618.5;6
20181210 030500;2618.5;2618.5;2618.5;2618.5;1
20181210 030600;2618;2618;2617.25;2617.25;5
20181210 030700;2617.75;2617.75;2617.75;2617.75;3
20181210 030800;2618;2618.25;2618;2618.25;5
20181210 031200;2618;2618;2618;2618;1
20181210 031300;2616.75;2616.75;2616.5;2616.5;7
20181210 031400;2616.75;2616.75;2616.75;2616.75;4
20181210 031500;2616.5;2616.5;2616;2616;13
20181210 031600;2616;2616;2616;2616;2
20181210 031800;2616.75;2616.75;2616.75;2616.75;1
20181210 031900;2616.75;2616.75;2616.75;2616.75;2
20181210 032100;2617;2617;2617;2617;1
20181210 032400;2618;2618;2618;2618;1
20181210 032500;2618;2618;2618;2618;2
20181210 032600;2618;2618;2618;2618;1
20181210 032700;2617.75;2617.75;2617.75;2617.75;1
20181210 032800;2618;2618;2617.75;2617.75;10
20181210 033000;2618.5;2618.5;2618.5;2618.5;1
20181210 033100;2618.25;2619;2618.25;2619;3
20181210 033200;2619.75;2620;2619.75;2620;6
20181210 033300;2620;2620.5;2620;2620.25;3
20181210 033400;2620.25;2620.25;2620.25;2620.25;1
20181210 033500;2621;2621.25;2621;2621.25;3
20181210 033600;2620.5;2620.5;2620.5;2620.5;1
20181210 033900;2621.25;2621.5;2621;2621;11
20181210 034100;2620.5;2620.5;2620.5;2620.5;1
20181210 034200;2620.25;2620.25;2620.25;2620.25;5
20181210 034300;2620.25;2620.25;2620.25;2620.25;4
20181210 034600;2620.25;2620.25;2620.25;2620.25;2
20181210 034700;2620.75;2621;2620.5;2620.5;26
20181210 034800;2620.25;2620.5;2620.25;2620.5;11
20181210 034900;2620.5;2620.5;2620;2620;4
20181210 035000;2620.25;2620.25;2620.25;2620.25;5
20181210 035100;2620.5;2620.5;2619.75;2619.75;28
20181210 035200;2620;2620;2620;2620;1
20181210 035300;2620.75;2621;2620.75;2620.75;7
20181210 035700;2620.5;2620.5;2620.5;2620.5;1
20181210 035900;2620;2620;2620;2620;1
20181210 040100;2619.25;2619.25;2619.25;2619.25;1
20181210 040200;2619.5;2619.5;2619.5;2619.5;1
20181210 040600;2619.25;2619.75;2619;2619.75;7
20181210 040700;2620.25;2620.25;2620.25;2620.25;1
20181210 040800;2619.75;2619.75;2619.75;2619.75;2
20181210 041100;2619.75;2619.75;2619.75;2619.75;1
20181210 041600;2619.25;2619.25;2619;2619;4
20181210 041700;2619.25;2619.25;2619.25;2619.25;1
20181210 041800;2619;2619;2619;2619;1
20181210 042000;2619.25;2619.25;2619.25;2619.25;2
20181210 042100;2619;2619;2618.75;2618.75;6
20181210 042400;2620;2620;2620;2620;1
20181210 042600;2620.25;2620.25;2620.25;2620.25;1
20181210 042700;2619.75;2619.75;2619.75;2619.75;1
20181210 043300;2620.25;2620.25;2620.25;2620.25;1
20181210 044300;2620.75;2620.75;2620.75;2620.75;1
20181210 044800;2620.25;2620.25;2620.25;2620.25;1
20181210 044900;2620;2620;2620;2620;1
20181210 045000;2619.5;2619.5;2619.5;2619.5;1
20181210 045100;2619.5;2619.5;2619.5;2619.5;3
20181210 045200;2620;2620;2619.75;2619.75;2
20181210 045300;2620.25;2620.25;2620.25;2620.25;2
20181210 045400;2619.75;2619.75;2619.75;2619.75;1
20181210 045500;2620.5;2620.5;2620.5;2620.5;1
20181210 045600;2621.5;2621.5;2621.5;2621.5;1
20181210 045700;2621.5;2621.5;2621.5;2621.5;1
20181210 045800;2621;2621;2621;2621;1
20181210 045900;2621.25;2621.25;2621.25;2621.25;3
20181210 050000;2621.75;2622;2621.75;2622;13
20181210 050100;2622;2622;2622;2622;1
20181210 050300;2621.5;2621.5;2621.5;2621.5;10
20181210 050400;2622;2622.25;2621.5;2621.5;12
20181210 050500;2622.25;2622.25;2622.25;2622.25;2
20181210 050600;2622;2622;2622;2622;12
20181210 051000;2621.75;2621.75;2621.25;2621.5;7
20181210 051100;2621.5;2621.75;2621.5;2621.75;4
20181210 051200;2621.75;2622;2621.5;2622;10
20181210 051300;2621.75;2621.75;2621;2621;2
20181210 051700;2620;2620;2620;2620;1
20181210 052300;2620.5;2620.5;2620.5;2620.5;1
20181210 052500;2620.75;2620.75;2620.75;2620.75;22
20181210 052900;2620.25;2620.25;2620.25;2620.25;1
20181210 053100;2619.75;2619.75;2619.75;2619.75;1
20181210 053700;2620.5;2620.5;2620;2620;10
20181210 054000;2620.25;2620.25;2620.25;2620.25;1
20181210 054100;2621;2621;2621;2621;1
20181210 054200;2622.25;2622.25;2622.25;2622.25;1
20181210 054700;2622.25;2622.25;2622.25;2622.25;1
20181210 054900;2622;2622;2622;2622;3
20181210 055000;2622;2622;2622;2622;5
20181210 055100;2622.25;2622.5;2622.25;2622.5;7
20181210 055400;2621.5;2621.5;2621.5;2621.5;1
20181210 055800;2622.25;2622.25;2622.25;2622.25;1
20181210 060000;2622.75;2623;2622.75;2622.75;18
20181210 060100;2622.75;2622.75;2622.5;2622.5;11
20181210 060300;2622.75;2622.75;2622.75;2622.75;1
20181210 060400;2622.5;2622.5;2622.5;2622.5;1
20181210 060600;2623.25;2623.25;2623.25;2623.25;1
20181210 060700;2623.5;2624;2623.5;2624;9
20181210 060800;2624.5;2624.75;2624.5;2624.75;3
20181210 060900;2624.5;2624.5;2624.5;2624.5;1
20181210 061100;2624.5;2624.5;2624.5;2624.5;20
20181210 061200;2623.75;2624;2623.5;2623.5;17
20181210 061300;2622.75;2622.75;2622.75;2622.75;1
20181210 061500;2622.5;2622.5;2622;2622;2
20181210 061600;2622;2622;2621.75;2621.75;9
20181210 061900;2622;2622;2621.5;2621.5;7
20181210 062100;2622.5;2622.5;2622.5;2622.5;1
20181210 062200;2622.5;2622.5;2622.5;2622.5;1
20181210 062400;2622.75;2622.75;2622.75;2622.75;1
20181210 062500;2622.5;2622.75;2622.5;2622.75;7
20181210 063000;2623.5;2623.5;2623.5;2623.5;1
20181210 063700;2622.75;2622.75;2622.75;2622.75;1
20181210 064000;2622.5;2622.5;2622.25;2622.25;7
20181210 064300;2621.5;2621.5;2621.5;2621.5;1
20181210 064400;2621.75;2621.75;2621.75;2621.75;1
20181210 064800;2621;2621;2620;2620;8
20181210 064900;2619.75;2619.75;2619.75;2619.75;22
20181210 065000;2620;2620;2620;2620;1
20181210 065100;2620;2620;2620;2620;2
20181210 065300;2620.25;2620.5;2620.25;2620.5;2
20181210 065800;2620.5;2620.75;2620.5;2620.75;4
20181210 070000;2620;2620;2620;2620;1
20181210 070100;2621.5;2625.25;2621.5;2625.25;30
20181210 070200;2624.5;2625.5;2624.5;2625.5;11
20181210 070300;2625.75;2627.25;2625.75;2626.75;16
20181210 070400;2626.5;2626.5;2625.75;2626;20
20181210 070500;2626.5;2626.5;2626.25;2626.25;2
20181210 070600;2626.25;2626.25;2624.75;2624.75;41
20181210 070700;2625;2625.5;2624.5;2624.75;8
20181210 070800;2624.5;2624.5;2624.5;2624.5;1
20181210 070900;2624.5;2624.5;2624.5;2624.5;1
20181210 071000;2624.75;2624.75;2624.25;2624.25;3
20181210 071100;2625;2625.5;2625;2625.5;7
20181210 071300;2626;2626.25;2626;2626.25;2
20181210 071400;2626;2626.25;2626;2626.25;3
20181210 071500;2626.75;2626.75;2626.25;2626.25;3
20181210 071700;2626.5;2627.5;2626.5;2627;32
20181210 071800;2627;2627;2626.5;2626.75;7
20181210 072000;2627.5;2627.5;2627;2627;5
20181210 072100;2627.5;2627.5;2627.5;2627.5;1
20181210 072200;2627;2627;2626.75;2626.75;4
20181210 072300;2626.75;2627;2626.5;2626.5;4
20181210 072600;2627.5;2628.5;2627.5;2628.25;21
20181210 072700;2627.75;2627.75;2627.5;2627.75;13
20181210 072800;2627.5;2627.75;2627.5;2627.75;3
20181210 072900;2626.75;2626.75;2626.5;2626.5;3
20181210 073000;2626.75;2626.75;2626.25;2626.25;3
20181210 073100;2626.75;2627;2626.5;2627;3
20181210 073200;2626.5;2626.75;2626.5;2626.75;3
20181210 073300;2627.25;2627.25;2627.25;2627.25;2
20181210 073400;2626.75;2626.75;2626.5;2626.5;3
20181210 073600;2626.75;2626.75;2626.75;2626.75;1
20181210 073700;2628.25;2628.75;2628;2628.75;18
20181210 073800;2629;2629.75;2628.5;2629.5;32
20181210 073900;2628.75;2629;2628.75;2629;10
20181210 074000;2629;2629;2628;2628;14
20181210 074100;2628.75;2628.75;2628.75;2628.75;1
20181210 074200;2628.5;2628.75;2628.5;2628.5;11
20181210 074300;2628.25;2628.5;2628.25;2628.5;5
20181210 074400;2628.5;2628.5;2627.25;2627.25;7
20181210 074500;2627;2627.25;2627;2627.25;5
20181210 074600;2626.25;2626.75;2625.5;2626.75;30
20181210 074700;2626.25;2626.5;2626.25;2626.5;5
20181210 074900;2626.75;2626.75;2626.75;2626.75;1
20181210 075100;2626.25;2626.75;2626.25;2626.75;2
20181210 075200;2627;2627.25;2627;2627.25;4
20181210 075300;2628;2628;2627.5;2627.5;4
20181210 075400;2627.75;2627.75;2627.75;2627.75;2
20181210 075500;2627.75;2627.75;2627.75;2627.75;1
20181210 075600;2629.25;2630.75;2629;2629.25;42
20181210 075700;2629;2629.25;2629;2629.25;2
20181210 075900;2629.25;2629.5;2629;2629;44
20181210 080100;2629.25;2631.25;2629.25;2630.75;29
20181210 080200;2631.25;2632;2630.25;2632;18
20181210 080300;2632.25;2634;2632;2633.75;99
20181210 080400;2634;2634;2633;2633;13
20181210 080500;2632.75;2634.5;2632.75;2634.5;19
20181210 080600;2634.5;2634.5;2634.25;2634.25;4
20181210 080700;2634;2634;2634;2634;2
20181210 080800;2634;2634;2634;2634;7
20181210 080900;2634.75;2635;2634.75;2634.75;33
20181210 081000;2633.75;2633.75;2633.5;2633.5;4
20181210 081100;2633.75;2635.25;2633.5;2634.25;8
20181210 081200;2634.25;2634.25;2633.5;2633.5;55
20181210 081300;2633;2633;2631.5;2632;29
20181210 081400;2632.5;2632.5;2632.5;2632.5;1
20181210 081500;2632;2633;2632;2632.75;26
20181210 081600;2632.75;2633.75;2632.5;2633.75;75
20181210 081700;2633.75;2634.25;2632.25;2632.25;30
20181210 081800;2632.5;2632.5;2631.75;2632;14
20181210 081900;2632;2632.5;2632;2632.5;3
20181210 082000;2632;2632;2631.75;2631.75;3
20181210 082100;2631.25;2632;2631.25;2632;3
20181210 082200;2631;2631;2630.5;2630.5;2
20181210 082300;2630.25;2631;2630.25;2630.25;15
20181210 082400;2630;2630;2630;2630;4
20181210 082500;2630.25;2631.25;2630.25;2630.75;24
20181210 082600;2631;2631;2628.5;2628.5;27
20181210 082700;2628.5;2629.5;2628.5;2629.25;47
20181210 082800;2629;2629.5;2628.5;2628.75;21
20181210 082900;2628.75;2629.5;2628.75;2629.25;54
20181210 083000;2629;2629;2628.75;2628.75;16
20181210 083100;2628.25;2630;2628.25;2630;15
20181210 083200;2631;2631;2630.5;2630.5;10
20181210 083300;2632.5;2633.25;2632.5;2633;15
20181210 083400;2633.25;2633.75;2633;2633.75;7
20181210 083500;2634;2634;2633.5;2633.5;2
20181210 083600;2634;2634.5;2633.75;2634.5;5
20181210 083700;2633.75;2634;2633.75;2634;3
20181210 083800;2634;2634;2633.25;2633.75;3
20181210 083900;2633.25;2633.25;2633;2633;3
20181210 084000;2632;2632;2632;2632;2
20181210 084200;2633;2633;2633;2633;1
20181210 084300;2632.5;2632.5;2632.5;2632.5;2
20181210 084400;2630.75;2631.5;2630.75;2631.5;7
20181210 084500;2630.5;2630.75;2630.25;2630.5;8
20181210 084600;2630;2630;2630;2630;5
20181210 084700;2631.5;2631.5;2631.5;2631.5;2
20181210 084900;2629.5;2629.75;2629.5;2629.75;12
20181210 085000;2628.75;2629.5;2628.75;2629.25;8
20181210 085100;2628.5;2628.5;2628;2628;13
20181210 085200;2628.75;2630.5;2628.75;2630.5;10
20181210 085300;2630;2630;2628.75;2628.75;2
20181210 085400;2628.5;2628.5;2628.5;2628.5;1
20181210 085500;2627.5;2627.5;2626.75;2626.75;8
20181210 085600;2627.5;2627.5;2627.5;2627.5;1
20181210 085700;2627;2627;2626;2626.75;14
20181210 085800;2626.5;2626.75;2626.5;2626.75;2
